2023-01-18 05:05:20 install libquadmath0:amd64 <none> 10.2.1-6
2023-01-18 05:05:20 status half-installed libquadmath0:amd64 10.2.1-6
2023-01-18 05:05:20 status unpacked libquadmath0:amd64 10.2.1-6
2023-01-18 05:05:20 install libgcc-10-dev:amd64 <none> 10.2.1-6
2023-01-18 05:05:20 status half-installed libgcc-10-dev:amd64 10.2.1-6
2023-01-18 05:05:20 status unpacked libgcc-10-dev:amd64 10.2.1-6
2023-01-18 05:05:20 install gcc-10:amd64 <none> 10.2.1-6
2023-01-18 05:05:20 status half-installed gcc-10:amd64 10.2.1-6
2023-01-18 05:05:22 status unpacked gcc-10:amd64 10.2.1-6
2023-01-18 05:05:22 install gcc:amd64 <none> 4:10.2.1-1
2023-01-18 05:05:22 status half-installed gcc:amd64 4:10.2.1-1
2023-01-18 05:05:22 status unpacked gcc:amd64 4:10.2.1-1
2023-01-18 05:05:22 install gnupg-l10n:all <none> 2.2.27-2+deb11u2
2023-01-18 05:05:22 status half-installed gnupg-l10n:all 2.2.27-2+deb11u2
2023-01-18 05:05:22 status unpacked gnupg-l10n:all 2.2.27-2+deb11u2
2023-01-18 05:05:22 install gnupg-utils:amd64 <none> 2.2.27-2+deb11u2
2023-01-18 05:05:22 status half-installed gnupg-utils:amd64 2.2.27-2+deb11u2
2023-01-18 05:05:22 status unpacked gnupg-utils:amd64 2.2.27-2+deb11u2
2023-01-18 05:05:22 install gpg:amd64 <none> 2.2.27-2+deb11u2
2023-01-18 05:05:22 status half-installed gpg:amd64 2.2.27-2+deb11u2
2023-01-18 05:05:22 status unpacked gpg:amd64 2.2.27-2+deb11u2
2023-01-18 05:05:22 install pinentry-curses:amd64 <none> 1.1.0-4
2023-01-18 05:05:22 status half-installed pinentry-curses:amd64 1.1.0-4
2023-01-18 05:05:22 status unpacked pinentry-curses:amd64 1.1.0-4
2023-01-18 05:05:22 install gpg-agent:amd64 <none> 2.2.27-2+deb11u2
2023-01-18 05:05:22 status half-installed gpg-agent:amd64 2.2.27-2+deb11u2
2023-01-18 05:05:22 status unpacked gpg-agent:amd64 2.2.27-2+deb11u2
2023-01-18 05:05:22 install gpg-wks-client:amd64 <none> 2.2.27-2+deb11u2
2023-01-18 05:05:22 status half-installed gpg-wks-client:amd64 2.2.27-2+deb11u2
2023-01-18 05:05:22 status unpacked gpg-wks-client:amd64 2.2.27-2+deb11u2
2023-01-18 05:05:22 install gpg-wks-server:amd64 <none> 2.2.27-2+deb11u2
2023-01-18 05:05:22 status half-installed gpg-wks-server:amd64 2.2.27-2+deb11u2
2023-01-18 05:05:22 status unpacked gpg-wks-server:amd64 2.2.27-2+deb11u2
2023-01-18 05:05:22 install gpgsm:amd64 <none> 2.2.27-2+deb11u2
2023-01-18 05:05:22 status half-installed gpgsm:amd64 2.2.27-2+deb11u2
2023-01-18 05:05:22 status unpacked gpgsm:amd64 2.2.27-2+deb11u2
2023-01-18 05:05:22 install gnupg:all <none> 2.2.27-2+deb11u2
2023-01-18 05:05:22 status half-installed gnupg:all 2.2.27-2+deb11u2
2023-01-18 05:05:22 status unpacked gnupg:all 2.2.27-2+deb11u2
2023-01-18 05:05:22 install libicu67:amd64 <none> 67.1-7
2023-01-18 05:05:22 status half-installed libicu67:amd64 67.1-7
2023-01-18 05:05:23 status unpacked libicu67:amd64 67.1-7
2023-01-18 05:05:23 install icu-devtools:amd64 <none> 67.1-7
2023-01-18 05:05:23 status half-installed icu-devtools:amd64 67.1-7
2023-01-18 05:05:23 status unpacked icu-devtools:amd64 67.1-7
